Time RV eRV Sindex Halpha PhotonCount ObservationTimes
2454690.06653 -3.17 1.35 0.1545 0.03242 52651 3
2454690.06707 -4.97 1.5 0.1552 0.03242 52291 3
2454690.06763 -0.84 1.4 0.1536 0.03239 61497 3
2454704.06868 1.25 1.27 0.1595 0.0324 84162 3
2454704.0692 -0.58 1.34 0.1537 0.0325 86627 3
2454704.06988 0.42 1.22 0.1607 0.03251 109355 3
2454717.9581 -4.4 1.71 0.1596 0.03255 62216 2
2454717.95865 -9.41 1.65 0.1575 0.03254 54241 2
2454717.95918 -3.5 1.47 0.1571 0.03252 68286 3
2454719.00918 -0.32 1.33 0.1564 0.03237 59901 2
2454719.00972 2 1.35 0.1567 0.0324 52484 2
2454719.01026 2.05 1.41 0.1547 0.03239 63611 2
2454721.90961 3.62 1.45 0.158 0.03252 70399 3
2454721.91014 1.69 1.5 0.1601 0.03243 48873 2
2454721.91069 0.4 1.56 0.1647 0.03247 61798 4
2454721.91159 -2.57 1.36 0.1666 0.03246 48109 6
2454721.91222 3.4 1.31 0.1781 0.03242 57123 6
2454721.91291 -1.16 1.39 0.1663 0.03244 45781 5
2454721.91355 2.28 1.38 0.162 0.03244 43806 8
2454721.9142 -0.39 1.34 0.1594 0.0325 41957 9
2454721.91485 0.93 1.32 0.1624 0.03248 45137 5
2454721.91545 -1.56 1.27 0.1644 0.03244 48809 5
2454721.9161 1.9 1.2 0.1777 0.03247 50934 7
2454721.91671 0.38 1.24 0.1633 0.03248 50839 9
2454721.91793 -2.13 1.57 0.1671 0.03246 46692 2
2454721.91846 -1.41 1.58 0.1648 0.03248 49411 3
2454721.91902 -0.34 1.5 0.1603 0.03255 47533 3
2454721.92034 -0.75 1.12 0.1522 0.03247 44247 3
2454721.92162 0.49 1.25 0.168 0.0324 46422 6
2454721.92222 -0.16 1.18 0.1668 0.03243 43804 8
2454721.92292 -1.94 1.28 0.1608 0.03246 46623 8
2454721.92397 3.39 1.36 0.1637 0.03249 56441 4
2454721.92458 1 1.4 0.1626 0.03245 52427 6
2454721.92516 1.86 1.51 0.1677 0.03249 61559 5
2454721.92579 0.31 1.38 0.1564 0.03246 57303 3
2454721.92637 1.61 1.53 0.1643 0.03247 51494 3
2454721.92697 -0.03 1.52 0.1575 0.03245 48583 2
2454721.92767 3.53 1.67 0.1601 0.03249 41976 3
